value,id,order,industry_classification_id
ソフトウェア,1,1,1
情報処理（SI）,2,2,1
Web・インターネット,3,3,1
ゲーム,4,4,2
通信（5G含む）,5,5,2
インフラ・ネットワーク,6,6,2
不動産,7,7,3
鉄道・航空,8,8,3
陸運・海運・物流,9,9,3
電力・ガス・エネルギー,10,10,4
レストラン・給食・フードサービス,11,11,4
ホテル・旅行,12,12,4
医療機関・調剤薬局,13,13,5
バイオ・再生医療,14,14,5
福祉サービス,15,15,5
フィットネスクラブ・エステ・理美容,16,16,6
アミューズメント・レジャー,17,17,6
冠婚葬祭,18,18,6
専門・その他サービス,19,19,7
コンサルティング・シンクタンク・調査,20,20,7
人材サービス（派遣・紹介）,21,21,7
教育,22,22,8
放送・新聞,23,23,8
出版・広告,24,24,8
エンターテインメント（芸能・映画・音楽）,25,25,9
農林・水産,26,26,9
食品,27,27,9
建設・設備関連,28,28,1
住宅・インテリア,29,29,1
アパレル・服飾関連,30,30,1
繊維・紙・パルプ,31,31,1
化学・石油,32,32,1
薬品・化粧品,33,33,1
ゴム・ガラス・セラミックス,34,34,1
鉄鋼・金属・鉱業,35,35,1
機械,36,36,1
プラント・エンジニアリング,37,37,1
電子・電気・OA機器,38,38,1
自動車・輸送用機器,39,39,1
精密・医療機器,40,40,1
印刷・事務機器・日用品,41,41,1
スポーツ・玩具・ゲーム製品,42,42,1
その他メーカー・製造関連,43,43,1
総合商社,44,44,1
商社,45,45,1
銀行・証券,46,46,1
信金・労金・信組,47,47,1
クレジット・信販・リース・その他金融,48,48,1
生保・損保,49,49,1
FinTech・仮想通貨,50,50,1
百貨店・スーパー・コンビニ,51,51,1
専門店,52,52,1
自然言語処理,53,53,1
画像処理,54,54,1
機械学習,55,55,1
音声認識,56,56,1
IoT,57,57,1
ロボット・ドローン・モビリティ関連（自動運転）,58,58,1
メタバース,59,59,1
NFT,60,60,1
ブロックチェーン,61,61,1
動画配信,62,62,1
Eスポーツ,63,63,1
