value,id,order
Ruby,1,1
Java,2,2
Node.js(javascript),3,3
Python3,4,4
C,5,5
C++,6,6
Python2,7,7
Go,8,8
Scala,9,9
Rust,10,10
SQL,11,11
C#,12,12
PHP,13,13
あ,14,14
Swift,15,15
Objective-C,16,16
Kotlin,17,17
問題やセッションには表示してはダメな言語,18,18
なでしこ,19,19
perl,20,20
Scheme,21,21
R,22,22
KiNoCoCo,23,23
Python(機械学習),24,24
非アクティブ＆穴埋めで使用,25,25
テスト言語(Ruby),26,26
test,27,27
清水テスト,28,28
"SStes'""><script>alert(324)</script>",29,29
SStest言語_20231013_1707_更新02,30,30
"SS'""><script>alert(323)</script>",31,31
SStest_1013_1733,32,32
